KWHSPH,KWHCOL,KWHWTH,KWHRFG,KWHRFG1,KWHRFG2,KWHFRZ,KWHCOK,KWHMICRO,KWHCW,KWHCDR,KWHDWH,KWHLGT,KWHTVREL,KWHTV1,KWHTV2,KWHAHUHEAT,KWHAHUCOL,KWHEVAPCOL,KWHCFAN,KWHDHUM,KWHHUM,KWHPLPMP,KWHHTBPMP,KWHHTBHEAT,KWHNEC,location
0,9032.649,0,733.672,733.672,0,0,0,50.791,60.767,1223.137,69.2,2486.164,705.814,235.011,15.887,405.609,541.163,0,0,0,1025.454,0,0,0,985.943,2
13297.087,626.928,3290.879,725.611,725.611,0,0,218.514,198.673,160.694,980.549,94.173,593.656,448.335,313.419,52.622,0,0,0,0,0,0,0,111.99,400.349,1203.725,1
0,11716.838,0,566.9,566.9,0,0,0,101.057,53.897,688.131,38.471,437.822,654.932,192.711,53.214,78.358,654.118,0,990.141,0,0,1574.189,345.029,0,357.054,1
0,1409.39,0,465.178,465.178,0,0,0,95.487,0,0,0,2158.467,764.887,313.786,0,81.007,68.044,0,0,0,0,0,0,0,167.503,1
1866.703,0,1962.943,526.813,526.813,0,0,144.464,68.006,0,0,0,89.478,353.724,178.613,16.192,0,0,0,182.749,0,0,0,0,0,407.389,1
4083.184,2001.413,0,637.65,637.65,0,0,0,70.301,16.638,340.241,31.849,434.512,660.519,77.553,0,76.512,90.476,0,65.154,0,0,0,0,0,7318.473,2
3278.911,6521.696,5647.211,590.71,590.71,0,269.033,163.999,61.074,54.063,1086.393,129.821,2634.963,1777.03,129.737,85.901,66.033,396.515,0,929.283,0,0,0,0,0,758.908,1
14529.559,4544.839,3535.456,475.67,475.67,0,0,262.017,49.524,50.946,650.146,0,1411.401,150.179,52.594,0,348.562,348.237,0,174.621,0,0,0,0,0,566.845,1
0,0,0,267.091,267.091,0,0,0,69.037,0,0,127.305,349.682,469.219,233.447,0,25.372,0,0,32.397,0,0,0,0,0,736.24,1
0,2899.562,0,1874.62,782.965,1091.655,0,0,146.451,45.984,928.336,228.002,1209.476,2456.447,201.511,135.007,0,193.234,0,115.611,394.175,0,0,0,0,4077.567,1
